Dataset,Noise,Depth,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,False,3,0.335302934768231,0.7829060922229288,0.9668560191399587,0.9857530936424654
Friedman 1,False,25,0.20912432230220906,0.5463026760993784,0.9879409025766124,0.9913828488303857
Friedman 1,False,100,0.14187730314540112,0.2594897649368533,0.9977183250742752,0.9974907415294287
Friedman 1,True,3,0.38986353561903614,0.6213845522409147,0.9785917843077855,0.9897027568321703
Friedman 1,True,25,0.20883716758578794,0.5590684199125115,0.9873009165102528,0.9912234649620272
Friedman 1,True,100,0.14147721383833425,0.26394845459763006,0.99762882934249,0.9974776658238231
Friedman 2,False,3,67.50299422997169,262.1629466024565,0.5840802699462291,0.6180624273905827
Friedman 2,False,25,292.5389357664037,264.96006462927204,0.5891739534378365,0.6176487925724605
Friedman 2,False,100,38187.997604298645,261.9435306524433,0.60654886835555,0.6185605333363479
Friedman 2,True,3,0.14306660899303075,22.650979032788634,0.9976309087152837,0.9892197694048127
Friedman 2,True,25,0.08058008671349685,31.900754115250695,0.9955743429103696,0.9807456835493434
Friedman 2,True,100,0.03390767633259414,50.10371727086543,0.9904651620072434,0.9659949001088145
Friedman 3,False,3,38770.30836385262,0.12956523510187967,0.8234399183770146,0.9102882532415767
Friedman 3,False,25,38196.75053115372,0.13055778533551066,0.8177825228148843,0.9077490722381085
Friedman 3,False,100,38196.6011868139,0.1299568353586053,0.8179315495836565,0.9041088789609769
Friedman 3,True,3,6.200893608866658,0.15324006908033366,0.8083642734696519,0.88510145467489
Friedman 3,True,25,6.36286540097963,0.16203537021629805,0.7834595226204647,0.8728525505880744
Friedman 3,True,100,7.460844005925637,0.17835340745853678,0.733697044556488,0.8481501398859316
