Dataset,Noise,Norm,Depth,Constant Value Bounds,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,True,False,3,unfixed,2.6956469940992047e+00,27.68440992422179,0.9690815622527479,0.992782419971065
Friedman 1,True,False,100,unfixed,0.23108715282598874,2.219530356964781,0.9990526488080486,0.999131260490526
Friedman 1,True,True,3,unfixed,1.8090760731800326,3.831170177007914,0.9974546681711608,0.9992374605948755
Friedman 1,True,True,100,unfixed,0.12155353189705839,3.1863604166586015,0.9992051421903788,0.9991893841553887
Friedman 2,True,False,3,unfixed,4692.040496478965,398787.3720034325,0.9753213678996157,0.9594116079565217
Friedman 2,True,False,100,unfixed,36.858024408690014,3813966.137042018,0.6992781809063336,0.8052912391370267
Friedman 2,True,True,3,unfixed,1.940812837734952,834.4154307121561,0.9999590526160499,0.9998605434902873
Friedman 2,True,True,100,unfixed,0.07522820438769945,10911.453851073591,0.9996480278952956,0.999022932283558
Friedman 3,True,False,3,unfixed,68.61401401597684,1.756876150874108,0.8563425982983286,0.9312740730869209
Friedman 3,True,False,100,unfixed,62.8206510461777,1.5945978852992564,0.8697864419837024,0.9326883814804638
Friedman 3,True,True,3,unfixed,2.0956859858980117,1.7027643977034754e-06,0.9999998584190037,0.9999999353748819
Friedman 3,True,True,100,unfixed,0.07400855208971621,0.008597676928893232,0.9993426235072527,0.9996447846228029
